"treat","plant","seed"
"auto","9","0"
"auto","9","0"
"auto","10","14"
"auto","10","10"
"auto","10","0"
"auto","10","0"
"auto","10","0"
"auto","10","0"
"auto","10","0"
"auto","10","0"
