year,site,plant,seeds
2014,29,40,13
2014,29,40,17
2014,29,40,18
2014,29,40,0
2014,29,40,15
2014,29,42,15
2014,29,42,18
2014,29,42,14
2014,29,42,13
2014,29,44,20
2014,29,44,8
2014,29,44,13
2014,29,44,14
2014,29,44,15
2014,29,46,15
2014,29,46,15
2014,29,46,15
2014,29,46,16
2014,29,46,14
2014,29,47,0
2014,29,47,0
2014,29,47,0
2014,29,47,17
2014,29,47,0
2014,29,48,12
2014,29,48,1
2014,29,49,22
2014,29,49,21
2014,29,49,22
2014,29,49,8
2014,29,49,6
2014,29,50,10
2014,29,50,8
2014,29,50,8
2014,29,50,0
2014,29,29,20
2014,29,29,16
2014,29,29,14
2014,29,29,15
2014,29,29,10
2014,29,34,21
2014,29,38,17
2014,29,43,0
2014,29,43,0
2014,29,43,16
2014,29,43,20
2014,29,43,14
2014,29,51,1
2014,29,51,21
2014,29,51,20
2014,29,51,16
2014,29,52,12
2014,29,52,0
2014,29,52,3
2014,29,52,0
2014,29,53,13
2014,29,53,8
2014,29,53,17
2014,29,53,13
2014,29,53,8
2014,29,54,0
2014,29,54,0
2014,29,54,0
2014,29,54,9
2014,29,55,14
2014,29,55,17
2014,29,55,13
2014,29,55,16
2014,29,55,15
2014,29,56,1
2014,29,56,14
2014,29,56,22
2014,29,56,15
2014,29,56,11
2014,29,58,12
2014,29,58,14
2014,29,58,15
2014,29,58,0
2014,29,31,15
2014,29,31,19
2014,29,31,20
2014,29,31,4
2014,29,31,16
2014,29,31,18
2014,29,33,14
2014,29,33,23
2014,29,33,17
2014,29,33,20
2014,29,33,16
2014,29,33,9
2014,29,35,12
2014,29,35,3
2014,29,35,15
2014,29,35,9
2014,29,36,13
2014,29,36,11
2014,29,36,18
2014,29,39,25
2014,29,39,3
2014,29,39,15
2014,29,39,18
2014,29,39,16
2014,29,41,17
2014,29,41,17
2014,29,41,18
2014,29,41,13
2014,29,41,16
2014,29,41,12
2014,29,45,13
2014,29,45,14
2014,29,45,16
2014,29,45,22
2014,29,45,15
2014,29,57,11
2014,29,57,19
2014,29,57,13
2014,29,57,2
2014,29,57,0
2014,29,59,11
2014,29,59,16
2014,29,59,16
2014,29,60,6
2014,29,60,12
2014,29,60,11
2014,29,60,13
2014,29,63,1
2014,29,63,7
2014,29,63,1
2014,29,63,12
2014,29,63,10
2014,29,61,1
2014,29,61,3
2014,29,61,1
2014,29,61,9
2014,29,65,19
2014,29,65,13
2014,29,65,0
2014,29,65,21
2014,29,65,15
2014,29,65,15
2014,29,65,15
2014,59,4,22
2014,59,4,19
2014,59,4,20
2014,59,4,19
2014,59,4,21
2014,59,6,13
2014,59,8,9
2014,59,8,10
2014,59,8,13
2014,59,10,15
2014,59,10,19
2014,59,10,18
2014,59,12,18
2014,59,15,0
2014,59,15,14
2014,59,15,18
2014,59,15,17
2014,59,15,15
2014,59,15,18
2014,59,15,16
2014,59,15,22
2014,59,15,20
2014,59,15,16
2014,91,1,5
2014,91,1,17
2014,91,1,20
2014,91,1,12
2014,91,1,0
2014,91,1,16
2014,91,1,17
2014,91,1,14
2014,91,1,17
2014,91,1,17
2014,91,5,10
2014,91,5,8
2014,91,5,9
2014,91,5,22
2014,91,5,9
2014,91,5,12
2014,91,9,11
2014,91,9,17
2014,91,9,19
2014,91,9,12
2014,91,9,12
2014,91,9,16
2014,91,9,11
2014,91,9,15
2014,91,19,0
2014,91,19,0
2014,91,19,0
2014,91,19,0
2014,91,19,0
2014,91,19,3
2014,91,19,13
2014,91,30,0
2014,91,30,0
2014,91,30,10
2014,91,30,14
2014,91,30,0
2014,91,30,10
2014,91,30,10
2014,91,30,11
2014,91,30,7
2014,91,30,13
2014,91,36,8
2014,91,36,13
2014,91,36,9
2014,91,43,15
2014,91,43,10
2014,91,43,19
2014,91,43,16
2014,91,43,17
2014,91,6,10
2014,91,6,7
2014,91,6,7
2014,91,6,14
2014,91,7,8
2014,91,7,6
2014,91,7,9
2014,91,7,16
2014,91,7,14
2014,91,7,13
2014,91,7,18
2014,91,7,16
2014,91,7,14
2014,91,12,19
2014,91,12,19
2014,91,12,5
2014,91,12,10
2014,91,12,16
2014,91,13,0
2014,91,13,7
2014,91,15,9
2014,91,15,11
2014,91,15,8
2014,91,16,2
2014,91,16,7
2014,91,16,9
2014,91,16,11
2014,91,17,9
2014,91,17,8
2014,91,20,3
2014,91,20,6
2014,91,20,0
2014,91,22,10
2014,91,22,1
2014,91,22,15
2014,91,22,13
2014,91,22,12
2014,91,22,12
2014,91,22,7
2014,91,22,14
2014,91,22,13
2014,91,2,0
2014,91,2,9
2014,91,2,12
2014,91,2,12
2014,91,2,0
2014,91,2,0
2014,91,2,18
2014,91,2,2
2014,91,3,14
2014,91,3,16
2014,91,3,5
2014,91,3,15
2014,91,3,10
2014,91,3,4
2014,91,4,16
2014,91,4,16
2014,91,4,13
2014,91,8,6
2014,91,8,15
2014,91,8,5
2014,91,8,8
2014,91,8,0
2014,91,8,0
2014,91,10,9
2014,91,10,12
2014,91,10,6
2014,91,10,18
2014,91,11,5
2014,91,11,17
2014,91,11,2
2014,91,11,0
2014,91,29,11
2014,91,29,0
2014,91,29,0
2014,91,29,6
2014,91,33,0
2014,91,33,16
2014,91,33,0
2014,91,33,0
2014,91,33,0
2014,91,33,0
2014,91,33,13
