TILL122	HT122	TILL155	HT155	TILL187	HT187	TILL222	HT222	TILL264	HT264	TILL332	HT332	TILL412	HT412	Tiller_Number	Tiller	id
4	10.6	5	28.3	7	32	8	40.3	24	49.4	35	42	43	39.8	NA	NA	285
6	8.3	7	24.1	12	33	16	39.5	37	40.7	56	40.8	72	31.4	NA	NA	286
4	12	5	22.6	9	33	8	36.8	22	44.1	39	46.8	44	47.3	NA	NA	287
3	7.1	5	16.3	8	33.2	11	37.8	26	36.8	43	37.4	40	31	NA	NA	288
3	8.6	5	20.4	9	33.4	9	38.6	29	39	29	39	11	20.2	NA	NA	289
3	10.8	4	24.7	6	33.9	9	34.1	21	35.6	33	35.7	32	34.9	NA	NA	290
4	11	4	26.6	6	34	7	34.9	27	43.6	41	44.9	48	40	NA	NA	291
6	13.5	4	26.3	6	35.4	8	36	23	37.2	46	49.6	67	38.8	NA	NA	292
5	12.5	7	27.2	7	36.6	7	40.7	17	41.7	35	47.6	37	34.4	NA	NA	293
3	11.4	5	30.2	7	36.9	8	37.8	23	42.2	31	51.8	43	51	NA	NA	294
4	9.2	4	18.3	5	37	9	49.8	NA	NA	NA	NA	NA	NA	NA	NA	295
NA	NA	NA	NA	NA	NA	1	2.3	3	9.2	4	11.2	NA	NA	NA	NA	296
3	6.7	5	22.1	NA	NA	10	27.4	22	30.5	31	36.2	39	33.2	NA	NA	297
5	10.5	4	22	NA	NA	10	31.8	28	39.3	36	43.4	47	41.6	NA	NA	298
3	2.7	1	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	299
3	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	300
1	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	301
2	2.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	302
3	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	303
NA	NA	1	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	304
1	2.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	305
2	2.7	NA	NA	NA	NA	4	17.8	NA	NA	NA	NA	NA	NA	NA	NA	306
1	2.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	307
4	8.5	5	14.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	308
NA	NA	1	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	309
3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	310
