TILL122	HT122	TILL155	HT155	TILL187	HT187	TILL222	HT222	TILL264	HT264	TILL332	HT332	TILL412	HT412	Tiller_Number	Tiller	id
4	7.4	4	14.5	6	14.5	9	23.1	22	28	36	28.9	45	27.8	19	30	75
2	5.2	3	12	4	14.6	5	16.8	6	18.7	12	18.7	8	18	1	29.6	76
3	6.3	4	13.4	5	14.6	6	19.1	12	19	13	19.1	8	19	29	29.3	77
2	6.2	3	10.1	3	14.6	5	17.2	18	23.5	25	27.7	35	27.5	17	29.3	78
5	4.6	4	7.3	6	14.7	8	18.8	21	22.5	33	23	22	22.7	1	29.3	79
3	7	3	11.7	5	14.7	7	17.3	10	26.2	11	29.3	12	28.2	2	29.1	80
3	5.7	4	11.9	5	14.7	7	24.5	29	31.6	32	38.7	38	37.6	12	29	81
2	6.4	2	6	5	14.8	8	20.7	23	28.1	50	33.6	53	33.3	10	29	82
2	7.2	3	14.2	3	14.8	NA	NA	NA	NA	NA	NA	NA	NA	34	28.8	83
3	6.6	4	12.1	9	14.9	9	17.5	NA	NA	NA	NA	9	24	4	28.6	84
2	5.1	3	12	5	15.1	5	19.8	12	27.6	25	27.6	30	27.6	18	28.4	85
1	3.7	1	7.4	2	15.1	4	22.1	12	33	21	33	28	33.1	40	28.3	86
3	7.6	3	12	4	15.3	8	25.1	22	33.7	43	34.9	46	33.8	35	28.3	87
3	6.1	3	14	8	15.4	14	21.5	32	26.7	38	29	35	29.6	32	28	88
2	3.4	NA	NA	1	15.5	3	21.8	10	29.2	24	30.3	30	27.7	11	28	89
2	5.2	2	8.5	3	15.6	5	18.8	14	25.1	20	25.5	25	35.1	1	27.7	90
3	4.5	3	9.1	4	15.6	5	22.3	20	25.4	36	27.2	38	25.3	9	27.5	91
3	7.8	3	11	5	15.6	8	26.8	27	34.3	34	39.1	41	39.7	28	27.4	92
3	3.9	3	12.8	6	15.7	7	27	12	28.6	17	30.6	21	33	1	27.4	93
1	3.5	1	8.8	4	15.8	7	20.2	20	28.9	36	29	43	28.9	51	27.1	94
3	5.3	2	13.9	3	16	7	19.9	10	22	19	22.5	NA	NA	16	27.1	95
3	5.6	2	11.1	4	16	5	18	12	25.7	30	26	38	27.8	9	27.1	96
3	3.6	3	10.5	3	16.2	6	20.5	10	20	NA	NA	NA	NA	24	26.9	97
3	4.8	3	10.4	5	16.3	7	21	22	34.1	27	34.1	24	29.4	49	26.7	98
3	4.5	3	9.1	7	16.4	12	21.4	18	23.1	37	29.2	46	27.2	17	26.7	99
2	3.3	2	8.6	3	16.5	6	25.3	15	29.4	29	29.4	33	20.5	12	26.6	100
3	4.8	2	9.4	4	16.5	7	19.8	26	32.7	40	34.7	52	35	32	26.5	101
2	6.3	2	8.3	4	16.5	6	29.1	16	35.7	26	36.6	27	31.2	16	26.5	102
3	6.4	3	11	3	16.6	4	19.1	17	20.9	9	23.3	6	23.1	15	26.5	103
3	8.7	2	15.4	4	16.6	8	18.1	14	22.4	26	24.8	NA	NA	22	26.4	104
3	3.6	1	8.7	13	16.6	4	23.3	8	26.7	15	28.2	14	33.2	3	26.4	105
3	7.7	3	13	4	16.6	4	21.9	15	32	29	37.8	42	36.9	1	25.9	106
2	3.8	2	10	3	16.7	7	23.6	18	30	34	30	39	28	23	25.7	107
4	10	3	15.7	5	17	5	21.1	9	21.3	13	29.1	11	29.1	1	25.7	108
3	6.7	3	7.4	6	17	9	20.8	34	29.5	46	30.7	55	30.8	24	25.4	109
3	5.2	4	12.3	9	17.1	14	23.6	26	30.5	51	31.4	68	31.5	22	25.4	110
3	5.1	3	14.6	6	17.2	7	25.9	22	28.5	30	32.8	34	33.7	3	25.2	111
3	7	5	8.6	12	17.3	13	21.3	22	25.8	23	25.8	16	26.2	51	25	112
3	6.2	3	10.5	4	17.4	8	26.4	21	32.9	31	34.5	35	32.4	10	25	113
2	5.8	3	11	4	17.7	8	22.6	18	28.1	36	29.8	36	24.2	1	25	114
3	5.3	3	12.2	6	18	8	21.4	19	22.3	21	22.7	17	23.7	1	24.5	115
