bald	gap	tag	year	initial	fire_year	ht_init	ht_final	rp_init	rp_final	stage	fate	st_init										
32	1	174	1994	1994	1967	46	NA	388	NA	me	rip	8										
32	1	175	1994	1994	1967	29	48	2	77	sm	me	6										
32	1	176	1994	1994	1967	44	NA	416	NA	me	rip	11										
32	1	177	1994	1994	1967	8	33	0	21	sg	sm	1										
32	1	178	1994	1994	1967	11	40	0	82	sg	me	1										
32	1	179	1994	1994	1967	51	NA	542	NA	la	rip	10										
32	1	180	1994	1994	1967	53	NA	967	NA	la	rip	12										
32	1	181	1994	1994	1967	49	NA	240	NA	me	rip	9										
32	1	182	1994	1994	1967	42	59	251	324	me	la	7										
32	1	183	1994	1994	1967	44	47	186	21	me	me	5										
32	1	184	1994	1994	1967	57	70	333	527	la	la	10										
32	1	185	1994	1994	1967	33	NA	32	NA	sm	rip	4										
32	1	186	1994	1994	1967	53	46	424	50	la	me	9										
32	1	187	1994	1994	1967	41	61	82	805	me	la	18										
32	1	188	1994	1994	1967	56	56	318	327	la	la	10										
32	1	189	1994	1994	1967	66	63	761	1046	la	la	17										
32	1	381	1994	1994	1967	57	NA	916	NA	la	rip	14										
32	1	382	1994	1994	1967	64	NA	580	NA	la	rip	6										
32	1	383	1994	1994	1967	50	66	64	375	me	la	2										
32	1	384	1994	1994	1967	54	NA	469	NA	la	rip	14										
32	1	385	1994	1994	1967	36	52	57	345	me	la	2										
32	1	386	1994	1994	1967	8	21	0	0	sg	ve	1										
32	1	387	1994	1994	1967	33	42	56	131	sm	me	5										
32	1	388	1994	1994	1967	40	NA	342	NA	me	rip	8										
32	1	389	1994	1994	1967	54	NA	598	NA	la	rip	8										
32	1	390	1994	1994	1967	28	42	21	88	sm	me	2										
32	1	391	1994	1994	1967	58	37	381	29	la	me	3										
32	1	392	1994	1994	1967	50	53	214	249	me	la	5										
32	1	393	1994	1994	1967	61	NA	348	NA	la	rip	6										
32	1	394	1994	1994	1967	43	44	61	107	me	me	3										
32	1	395	1994	1994	1967	57	54	376	372	la	la	8										
32	1	396	1994	1994	1967	44	40	85	130	me	me	3										
32	1	397	1994	1994	1967	39	39	65	87	me	me	2										
32	1	398	1994	1994	1967	22	29	4	30	sm	sm	2										
32	1	399	1994	1994	1967	25	32	0	39	ve	sm	1										
32	1	400	1994	1994	1967	47	43	222	186	me	me	6										
32	1	481	1994	1994	1967	54	NA	289	NA	la	rip	4										
32	1	482	1994	1994	1967	50	NA	216	NA	me	rip	3										
32	1	483	1994	1994	1967	21	53	0	163	ve	la	1										
32	1	484	1994	1994	1967	45	50	415	928	me	me	6										
32	1	485	1994	1994	1967	48	41	253	184	me	me	3										
32	1	486	1994	1994	1967	40	42	23	143	me	me	1										
32	1	487	1994	1994	1967	45	NA	386	NA	me	rip	6										
32	1	488	1994	1994	1967	28	38	13	49	sm	me	1										
32	1	489	1994	1994	1967	39	29	258	36	me	sm	4										
32	1	490	1994	1994	1967	44	NA	465	NA	me	rip	7										
32	1	491	1994	1994	1967	21	NA	0	NA	ve	rip	1										
32	1	492	1994	1994	1967	51	NA	1015	NA	la	rip	15										
32	1	493	1994	1994	1967	42	NA	290	NA	me	rip	9										
32	1	494	1994	1994	1967	4	33	0	14	sg	sm	1										
32	1	495	1994	1994	1967	31	44	31	124	sm	me	1										
32	1	496	1994	1994	1967	4	15	0	0	sg	ve	1										
32	1	497	1994	1994	1967	43	NA	336	NA	me	rip	9										
32	1	498	1994	1994	1967	50	NA	213	NA	me	rip	3										
32	1	499	1994	1994	1967	51	NA	320	NA	la	rip	11										
32	1	500	1994	1994	1967	17	36	0	48	ve	me	1										
32	2	190	1994	1994	1967	45	47	312	511	me	me	7										
32	2	191	1994	1994	1967	45	31	129	26	me	sm	3										
32	2	192	1994	1994	1967	56	51	235	299	la	la	3										
32	2	193	1994	1994	1967	61	57	562	506	la	la	7										
32	2	194	1994	1994	1967	57	NA	224	NA	la	rip	4										
32	2	195	1994	1994	1967	62	NA	429	NA	la	rip	5										
32	2	196	1994	1994	1967	32	31	103	58	sm	sm	9										
32	2	197	1994	1994	1967	37	49	169	266	me	me	3										
32	2	198	1994	1994	1967	52	53	260	357	la	la	5										
32	2	199	1994	1994	1967	37	63	84	271	me	la	6										
32	2	200	1994	1994	1967	51	58	198	151	la	la	4										
42	1	101	1994	1994	1993	18	38	0	64	sg	me	1										
42	1	102	1994	1994	1993	24	38	13	161	sg	me	1										
42	1	103	1994	1994	1993	13	36	0	128	sg	me	1										
42	1	104	1994	1994	1993	8	42	0	117	sg	me	1										
42	1	105	1994	1994	1993	4	27	0	15	sg	sm	1										
42	1	106	1994	1994	1993	5	33	0	45	sg	sm	1										
42	1	107	1994	1994	1993	17	37	0	188	sg	me	1										
42	1	109	1994	1994	1993	7	23	0	22	sg	sm	1										
42	1	110	1994	1994	1993	5	32	0	66	sg	sm	1										
42	1	111	1994	1994	1993	3	9	0	0	sg	ve	1										
42	1	112	1994	1994	1993	4	18	0	16	sg	sm	1										
42	1	113	1994	1994	1993	5	24	0	24	sg	sm	1										
42	1	114	1994	1994	1993	3	20	0	21	sg	sm	1										
42	1	115	1994	1994	1993	13	20	4	20	sg	sm	1										
42	1	116	1994	1994	1993	8	24	0	14	sg	sm	1										
42	1	117	1994	1994	1993	9	27	0	107	sg	sm	1										
42	1	118	1994	1994	1993	3	21	0	19	sg	sm	1										
42	1	119	1994	1994	1993	5	26	0	82	sg	sm	1										
42	1	120	1994	1994	1993	2	15	0	7	sg	sm	1										
42	1	121	1994	1994	1993	4	23	0	43	sg	sm	1										
42	1	122	1994	1994	1993	6	15	0	0	sg	ve	1										
42	1	124	1994	1994	1993	2	23	0	41	sg	sm	1										
42	1	125	1994	1994	1993	10	28	0	24	sg	sm	1										
42	1	126	1994	1994	1993	15	31	2	43	sg	sm	1										
42	1	127	1994	1994	1993	12	26	0	22	sg	sm	1										
42	1	128	1994	1994	1993	7	30	0	51	sg	sm	1										
